Source_ID,rowid,Source_Table,spending_source,spending_source_id,spending_source_type_id,spending_source_type_label,recipient,GOU Vote,Vote Name,Agency Name,Agency Details (where relevant),Project Code,Project Name,Programme Code,Programme Name,Aid_Programme_Code,Aid_Programme_Name,DONOR COA CODE,Donor name,Donorref,MTEF Sector,MTEF Reference,Sector strategy or policy,Details of sector policy or strategy,Aid Modality,Type of Project-Basket,GRANT-LOAN,On-Off Budget,PAF,SWG,Sector Objective,sector,subsector,PEAP Pillar,PEAP Objective,PEAP Area,DP,GOU,amount,amount_dollars,amount_donor,spending_type,donorcurrency,orderofmagnitude,Year,SIGNDATE,START DATE,CLOSE DATE,Financecomment,bs_offset
,48,Wage_Recurrent,President's Office,1,1,Government of Uganda,Society (Uganda),1,President's Office,,,,,6,Department of Information,,,,,,Public Administration,001 Office of the President (excluding Ethics & Integrity),,,,,,,,Public Administration,A strong Presidency and Cabinet,Public Administration,Presidency & Cabinet,4. Good Governance,4.0 Support to all or multiple objectives under Pillar 4,Support to all or multiple objectives under Pillar,,,0,0,0,Disbursement,,,2006,,,,,0
,49,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 District Agricultural Extension,,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,Support to different areas relevant to objective,,,0,0,0,Commitment,,,2003,,,,,0
,50,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 District Agricultural Extension,,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,Support to different areas relevant to objective,,,3.19E9,1727125.06768,0,Disbursement,,,2003,,,,,0
,51,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 District Agricultural Extension,,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,Support to different areas relevant to objective,,,0,0,0,Commitment,,,2004,,,,,0
,52,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 District Agricultural Extension,,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,Support to different areas relevant to objective,,,3.88257371E9,2152202.72173,0,Disbursement,,,2004,,,,,0
,53,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 District Agricultural Extension,,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,Support to different areas relevant to objective,,,0,0,0,Commitment,,,2005,,,,,0
,54,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 District Agricultural Extension,,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,Support to different areas relevant to objective,,,3.837814369E9,2157287.44744,0,Disbursement,,,2005,,,,,0
,55,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 District Agricultural Extension,,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,Support to different areas relevant to objective,,,3.87713E9,2179387.29623,0,Commitment,,,2006,,,,,0
,56,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 District Agricultural Extension,,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,Support to different areas relevant to objective,,,0,0,0,Disbursement,,,2006,,,,,0
,57,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 National Agriculture Advisory Services (Districts),,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,2.2b National Agricultural Advisory Services,,,0,0,0,Commitment,,,2003,,,,,0
,58,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 National Agriculture Advisory Services (Districts),,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,2.2b National Agricultural Advisory Services,,,0,0,0,Disbursement,,,2003,,,,,0
,59,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 National Agriculture Advisory Services (Districts),,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,2.2b National Agricultural Advisory Services,,,0,0,0,Commitment,,,2004,,,,,0
,60,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 National Agriculture Advisory Services (Districts),,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,2.2b National Agricultural Advisory Services,,,0,0,0,Disbursement,,,2004,,,,,0
,61,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 National Agriculture Advisory Services (Districts),,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,2.2b National Agricultural Advisory Services,,,0,0,0,Commitment,,,2005,,,,,0
,62,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 National Agriculture Advisory Services (Districts),,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,2.2b National Agricultural Advisory Services,,,0,0,0,Disbursement,,,2005,,,,,0
,63,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 National Agriculture Advisory Services (Districts),,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,2.2b National Agricultural Advisory Services,,,0,0,0,Commitment,,,2006,,,,,0
,64,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,4,Production,,,,,,Agriculture,501-850 National Agriculture Advisory Services (Districts),,,,,,,,Agriculture,"Effective Agriculture Education, Advisory and Extension Services",Agriculture,"Education, Advisory and Extension Services","2. Enhancing Production, Competitiveness & Incomes",2.2 Increased & more efficient agricultural production,2.2b National Agricultural Advisory Services,,,0,0,0,Disbursement,,,2006,,,,,0
,65,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,1,Administration,,,,,,Cross Sectoral Programmes,501-850 Local Government Development Programme (LGDP),,,,,,,,Cross Sectoral Programmes,Supporting Cross Sectoral Local Government Service Delivery,Local Government,Local Government Service Delivery,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,,,0,0,0,Commitment,,,2003,,,,,0
,66,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,1,Administration,,,,,,Cross Sectoral Programmes,501-850 Local Government Development Programme (LGDP),,,,,,,,Cross Sectoral Programmes,Supporting Cross Sectoral Local Government Service Delivery,Local Government,Local Government Service Delivery,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,,,0,0,0,Disbursement,,,2003,,,,,0
,67,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,1,Administration,,,,,,Cross Sectoral Programmes,501-850 Local Government Development Programme (LGDP),,,,,,,,Cross Sectoral Programmes,Supporting Cross Sectoral Local Government Service Delivery,Local Government,Local Government Service Delivery,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,,,0,0,0,Commitment,,,2004,,,,,0
,68,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,1,Administration,,,,,,Cross Sectoral Programmes,501-850 Local Government Development Programme (LGDP),,,,,,,,Cross Sectoral Programmes,Supporting Cross Sectoral Local Government Service Delivery,Local Government,Local Government Service Delivery,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,,,0,0,0,Disbursement,,,2004,,,,,0
,69,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,1,Administration,,,,,,Cross Sectoral Programmes,501-850 Local Government Development Programme (LGDP),,,,,,,,Cross Sectoral Programmes,Supporting Cross Sectoral Local Government Service Delivery,Local Government,Local Government Service Delivery,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,,,0,0,0,Commitment,,,2005,,,,,0
,70,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,1,Administration,,,,,,Cross Sectoral Programmes,501-850 Local Government Development Programme (LGDP),,,,,,,,Cross Sectoral Programmes,Supporting Cross Sectoral Local Government Service Delivery,Local Government,Local Government Service Delivery,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,,,0,0,0,Disbursement,,,2005,,,,,0
,71,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,1,Administration,,,,,,Cross Sectoral Programmes,501-850 Local Government Development Programme (LGDP),,,,,,,,Cross Sectoral Programmes,Supporting Cross Sectoral Local Government Service Delivery,Local Government,Local Government Service Delivery,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,,,0,0,0,Commitment,,,2006,,,,,0
,72,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,1,Administration,,,,,,Cross Sectoral Programmes,501-850 Local Government Development Programme (LGDP),,,,,,,,Cross Sectoral Programmes,Supporting Cross Sectoral Local Government Service Delivery,Local Government,Local Government Service Delivery,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,Support to Multiple PEAP Pillars/Non PEAP,,,0,0,0,Disbursement,,,2006,,,,,0
,73,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,9,Community Based Services,,,,,,Education,501-850 District Functional Adult Literacy Grant,,,,,,,,"Gender, Labour & Social Development",Community Development & Social Protection,"Gender, Labour & Social Development",Community Development & Social Protection,5. Human Development,5.4 Inclusive & Empowered Communities,5.4a Community Development & Social Protection,,,0,0,0,Commitment,,,2003,,,,,0
,74,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,9,Community Based Services,,,,,,Education,501-850 District Functional Adult Literacy Grant,,,,,,,,"Gender, Labour & Social Development",Community Development & Social Protection,"Gender, Labour & Social Development",Community Development & Social Protection,5. Human Development,5.4 Inclusive & Empowered Communities,5.4a Community Development & Social Protection,,,0,0,0,Disbursement,,,2003,,,,,0
,75,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,9,Community Based Services,,,,,,Education,501-850 District Functional Adult Literacy Grant,,,,,,,,"Gender, Labour & Social Development",Community Development & Social Protection,"Gender, Labour & Social Development",Community Development & Social Protection,5. Human Development,5.4 Inclusive & Empowered Communities,5.4a Community Development & Social Protection,,,0,0,0,Commitment,,,2004,,,,,0
,76,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,9,Community Based Services,,,,,,Education,501-850 District Functional Adult Literacy Grant,,,,,,,,"Gender, Labour & Social Development",Community Development & Social Protection,"Gender, Labour & Social Development",Community Development & Social Protection,5. Human Development,5.4 Inclusive & Empowered Communities,5.4a Community Development & Social Protection,,,0,0,0,Disbursement,,,2004,,,,,0
,77,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,9,Community Based Services,,,,,,Education,501-850 District Functional Adult Literacy Grant,,,,,,,,"Gender, Labour & Social Development",Community Development & Social Protection,"Gender, Labour & Social Development",Community Development & Social Protection,5. Human Development,5.4 Inclusive & Empowered Communities,5.4a Community Development & Social Protection,,,0,0,0,Commitment,,,2005,,,,,0
,78,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,9,Community Based Services,,,,,,Education,501-850 District Functional Adult Literacy Grant,,,,,,,,"Gender, Labour & Social Development",Community Development & Social Protection,"Gender, Labour & Social Development",Community Development & Social Protection,5. Human Development,5.4 Inclusive & Empowered Communities,5.4a Community Development & Social Protection,,,0,0,0,Disbursement,,,2005,,,,,0
,79,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,9,Community Based Services,,,,,,Education,501-850 District Functional Adult Literacy Grant,,,,,,,,"Gender, Labour & Social Development",Community Development & Social Protection,"Gender, Labour & Social Development",Community Development & Social Protection,5. Human Development,5.4 Inclusive & Empowered Communities,5.4a Community Development & Social Protection,,,0,0,0,Commitment,,,2006,,,,,0
,80,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,9,Community Based Services,,,,,,Education,501-850 District Functional Adult Literacy Grant,,,,,,,,"Gender, Labour & Social Development",Community Development & Social Protection,"Gender, Labour & Social Development",Community Development & Social Protection,5. Human Development,5.4 Inclusive & Empowered Communities,5.4a Community Development & Social Protection,,,0,0,0,Disbursement,,,2006,,,,,0
,81,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Secondary Education,,,,,,,,Education,"Effective, Universal Secondary and Vocational Training",Education,Secondary Education & Vocational Training,5. Human Development,5.1 Better Educated Ugandans,5.1c Secondary Educ. & BTVET,,,0,0,0,Commitment,,,2003,,,,,0
,82,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Secondary Education,,,,,,,,Education,"Effective, Universal Secondary and Vocational Training",Education,Secondary Education & Vocational Training,5. Human Development,5.1 Better Educated Ugandans,5.1c Secondary Educ. & BTVET,,,6.6769E10,3.61499729291E7,0,Disbursement,,,2003,,,,,0
,83,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Secondary Education,,,,,,,,Education,"Effective, Universal Secondary and Vocational Training",Education,Secondary Education & Vocational Training,5. Human Development,5.1 Better Educated Ugandans,5.1c Secondary Educ. & BTVET,,,0,0,0,Commitment,,,2004,,,,,0
,84,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Secondary Education,,,,,,,,Education,"Effective, Universal Secondary and Vocational Training",Education,Secondary Education & Vocational Training,5. Human Development,5.1 Better Educated Ugandans,5.1c Secondary Educ. & BTVET,,,8.016209581E10,4.44357515576E7,0,Disbursement,,,2004,,,,,0
,85,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Secondary Education,,,,,,,,Education,"Effective, Universal Secondary and Vocational Training",Education,Secondary Education & Vocational Training,5. Human Development,5.1 Better Educated Ugandans,5.1c Secondary Educ. & BTVET,,,0,0,0,Commitment,,,2005,,,,,0
,86,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Secondary Education,,,,,,,,Education,"Effective, Universal Secondary and Vocational Training",Education,Secondary Education & Vocational Training,5. Human Development,5.1 Better Educated Ugandans,5.1c Secondary Educ. & BTVET,,,8.526266241E10,4.79272975885E7,0,Disbursement,,,2005,,,,,0
,87,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Secondary Education,,,,,,,,Education,"Effective, Universal Secondary and Vocational Training",Education,Secondary Education & Vocational Training,5. Human Development,5.1 Better Educated Ugandans,5.1c Secondary Educ. & BTVET,,,9.770134586E10,5.49192500618E7,0,Commitment,,,2006,,,,,0
,88,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Secondary Education,,,,,,,,Education,"Effective, Universal Secondary and Vocational Training",Education,Secondary Education & Vocational Training,5. Human Development,5.1 Better Educated Ugandans,5.1c Secondary Educ. & BTVET,,,0,0,0,Disbursement,,,2006,,,,,0
,89,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Primary Educ incl SFG,,,,,,,,Education,"Good Quality, Universal Primary Education",Education,Primary Education,5. Human Development,5.1 Better Educated Ugandans,5.1b Primary Education,,,0,0,0,Commitment,,,2003,,,,,0
,90,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Primary Educ incl SFG,,,,,,,,Education,"Good Quality, Universal Primary Education",Education,Primary Education,5. Human Development,5.1 Better Educated Ugandans,5.1b Primary Education,,,2.16035E11,1.16965349215E8,0,Disbursement,,,2003,,,,,0
,91,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Primary Educ incl SFG,,,,,,,,Education,"Good Quality, Universal Primary Education",Education,Primary Education,5. Human Development,5.1 Better Educated Ugandans,5.1b Primary Education,,,0,0,0,Commitment,,,2004,,,,,0
,92,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Primary Educ incl SFG,,,,,,,,Education,"Good Quality, Universal Primary Education",Education,Primary Education,5. Human Development,5.1 Better Educated Ugandans,5.1b Primary Education,,,2.436700581E11,1.3507209429E8,0,Disbursement,,,2004,,,,,0
,93,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Primary Educ incl SFG,,,,,,,,Education,"Good Quality, Universal Primary Education",Education,Primary Education,5. Human Development,5.1 Better Educated Ugandans,5.1b Primary Education,,,0,0,0,Commitment,,,2005,,,,,0
,94,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Primary Educ incl SFG,,,,,,,,Education,"Good Quality, Universal Primary Education",Education,Primary Education,5. Human Development,5.1 Better Educated Ugandans,5.1b Primary Education,,,2.777632765E11,1.56134500562E8,0,Disbursement,,,2005,,,,,0
,95,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Primary Educ incl SFG,,,,,,,,Education,"Good Quality, Universal Primary Education",Education,Primary Education,5. Human Development,5.1 Better Educated Ugandans,5.1b Primary Education,,,3.424955E11,1.92521360315E8,0,Commitment,,,2006,,,,,0
,96,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Primary Educ incl SFG,,,,,,,,Education,"Good Quality, Universal Primary Education",Education,Primary Education,5. Human Development,5.1 Better Educated Ugandans,5.1b Primary Education,,,0,0,0,Disbursement,,,2006,,,,,0
,97,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Health Training Shools,,,,,,,,Education,"Effective, Universal Secondary and Vocational Training",Education,Secondary Education & Vocational Training,5. Human Development,5.1 Better Educated Ugandans,5.1c Secondary Educ. & BTVET,,,0,0,0,Commitment,,,2003,,,,,0
,98,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Health Training Shools,,,,,,,,Education,"Effective, Universal Secondary and Vocational Training",Education,Secondary Education & Vocational Training,5. Human Development,5.1 Better Educated Ugandans,5.1c Secondary Educ. & BTVET,,,0,0,0,Disbursement,,,2003,,,,,0
,99,Wage_Recurrent,Local Governments,1,1,Government of Uganda,Society (Uganda),501-850,Local Governments,,,,,6,Education,,,,,,Education,501-850 District Health Training Shools,,,,,,,,Education,"Effective, Universal Secondary and Vocational Training",Education,Secondary Education & Vocational Training,5. Human Development,5.1 Better Educated Ugandans,5.1c Secondary Educ. & BTVET,,,0,0,0,Commitment,,,2004,,,,,0
