GID,Private,Tree ID,Admin Area,Side of Street,On Street,From Street,To Street,Street_Name,Situs Number,Address Estimated,Lot Side,Serial Number,Tree Site,Species,Trim Cycle,Diameter at Breast Ht,Trunk Count,Height Code,Canopy Width,Trunk Condition,Structure Condition,Crown Condition,Pest Condition,Condition Calced,Condition Rating,Vigor,Cable Presence,Stake Presence,Grow Space,Utility Presence,Distance from Property,Inventory Date,Staff Name,Comments,Zip,City Name,Longitude,Latitude,Protected,Designated,Heritage,Appraised Value,Hardscape,Identifier,Location Feature ID,Install Date,Feature Name,KML,FusionMarkerIcon
1,True,29,,,ADDISON AV,EMERSON ST,RAMONA ST,ADDISON AV,203,,Front,,2,Celtis australis,Large Tree Routine Prune,11,1,25-30,15-30,,Good,5,,,Good,2,False,False,Planting Strip,,44,10/18/2010,BK,,,Palo Alto,-122.1565172,37.4409561,False,False,False,,None,40,13872,,"Tree: 29 site 2 at 203 ADDISON AV, on ADDISON AV 44 from pl","<Point><coordinates>-122.156485,37.440963</coordinates></Point>",small_green
2,True,30,,,EMERSON ST,CHANNING AV,ADDISON AV,ADDISON AV,203,,Left,,1,Liquidambar styraciflua,Large Tree Routine Prune,11,1,50-55,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,21,6/2/2010,BK,,,Palo Alto,-122.1567812,37.440951,False,False,False,,None,41,13872,,"Tree: 30 site 1 at 203 ADDISON AV, on EMERSON ST 21 from pl","<Point><coordinates>-122.156749,37.440958</coordinates></Point>",small_green
3,True,31,,,EMERSON ST,CHANNING AV,ADDISON AV,ADDISON AV,203,,Left,,2,Liquidambar styraciflua,Large Tree Routine Prune,11,1,40-45,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,54,6/2/2010,BK,,,Palo Alto,-122.1566921,37.4408948,False,False,False,,Low,42,13872,,"Tree: 31 site 2 at 203 ADDISON AV, on EMERSON ST 54 from pl","<Point><coordinates>-122.156659,37.440902</coordinates></Point>",small_green
4,True,32,,,ADDISON AV,EMERSON ST,RAMONA ST,ADDISON AV,209,,Front,,1,Ulmus parvifolia,Large Tree Routine Prune,18,1,35-40,30-45,Good,Good,5,,,Good,2,False,False,Planting Strip,,21,6/2/2010,BK,,,Palo Alto,-122.1564595,37.4410143,False,False,False,,Medium,43,13873,,"Tree: 32 site 1 at 209 ADDISON AV, on ADDISON AV 21 from pl","<Point><coordinates>-122.156427,37.441022</coordinates></Point>",small_green
5,True,33,,,ADDISON AV,EMERSON ST,RAMONA ST,ADDISON AV,219,,Front,,1,Eriobotrya japonica,Large Tree Routine Prune,7,1,15-20,0-15,Good,Good,3,,,Good,1,False,False,Planting Strip,,16,6/1/2010,BK,,,Palo Alto,-122.1563676,37.441107,False,False,False,,None,44,13874,,"Tree: 33 site 1 at 219 ADDISON AV, on ADDISON AV 16 from pl","<Point><coordinates>-122.156335,37.441114</coordinates></Point>",small_green
6,True,34,,,ADDISON AV,EMERSON ST,RAMONA ST,ADDISON AV,219,,Front,,2,Robinia pseudoacacia,Large Tree Routine Prune,29,1,50-55,30-45,Poor,Poor,5,,,Good,2,False,False,Planting Strip,,33,6/1/2010,BK,cavity or decay; trunk decay; codominant leaders; included bark; large leader or limb decay; previous failure root damage; root decay;  beware of BEES.,,Palo Alto,-122.1563313,37.4411436,False,False,False,,None,45,13874,,"Tree: 34 site 2 at 219 ADDISON AV, on ADDISON AV 33 from pl","<Point><coordinates>-122.156299,37.441151</coordinates></Point>",small_green
7,True,35,,,ADDISON AV,EMERSON ST,RAMONA ST,ADDISON AV,225,,Front,,1,Acer negundo,Large Tree Routine Prune,29,1,35-40,45-60,Poor,Poor,5,,,Good,2,False,False,Planting Strip,,28,6/1/2010,BK,root damage; root decay; cavity or decay; trunk decay; growing into sidewalk;,,Palo Alto,-122.1562544,37.4412212,False,False,False,,None,46,13875,,"Tree: 35 site 1 at 225 ADDISON AV, on ADDISON AV 28 from pl","<Point><coordinates>-122.156222,37.441229</coordinates></Point>",small_green
8,True,36,,,RAMONA ST,CHANNING AV,ADDISON AV,ADDISON AV,233,,Right,,1,Prunus cerasifera,Large Tree Routine Prune,6,4,25-30,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,50,6/1/2010,BK,branch wounds; codominant leaders;,,Palo Alto,-122.1562685,37.4414506,False,False,False,,Low,47,7,,"Tree: 36 site 1 at 233 ADDISON AV, on RAMONA ST 50 from pl","<Point><coordinates>-122.156236,37.441458</coordinates></Point>",small_green
9,True,37,,,RAMONA ST,CHANNING AV,ADDISON AV,ADDISON AV,233,,Right,,2,Crataegus laevigata,Priority 3 Removal,10,1,20-25,15-30,Poor,Poor,5,,,Fair,2,False,False,Planting Strip,,42,6/1/2010,BK,pest problem;  termites; cavity or decay; trunk decay; large leader or limb decay;,,Palo Alto,-122.1562469,37.4414369,False,False,False,,None,48,7,,"Tree: 37 site 2 at 233 ADDISON AV, on RAMONA ST 42 from pl","<Point><coordinates>-122.156214,37.441444</coordinates></Point>",small_green
10,True,38,,,RAMONA ST,CHANNING AV,ADDISON AV,ADDISON AV,233,,Right,,3,Quercus ilex,Large Tree Routine Prune,14,1,25-30,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,12,6/1/2010,BK,trunk wounds; trunk decay;,,Palo Alto,-122.1561658,37.4413859,False,False,False,,None,49,7,,"Tree: 38 site 3 at 233 ADDISON AV, on RAMONA ST 12 from pl","<Point><coordinates>-122.156133,37.441393</coordinates></Point>",small_green
11,True,39,,,ADDISON AV,RAMONA ST,BRYANT ST,ADDISON AV,241,,Front,,1,Acer macrophyllum,Large Tree Routine Prune,12,1,25-30,15-30,,Good,5,,,Good,2,False,False,Planting Strip,,12,10/18/2010,JM,previous small failure;,,Palo Alto,-122.1559981,37.4414797,False,False,False,,Low,50,20374,,"Tree: 39 site 1 at 241 ADDISON AV, on ADDISON AV 12 from pl","<Point><coordinates>-122.155965,37.441487</coordinates></Point>",small_green
12,True,40,,,ADDISON AV,RAMONA ST,BRYANT ST,ADDISON AV,241,,Front,,2,Acer macrophyllum,Training Prune,3,1,10-15,0-15,Good,Good,5,,,Good,2,False,False,Planting Strip,,39,6/1/2010,JM,,,Palo Alto,-122.1559405,37.4415379,False,False,False,,None,51,20374,,"Tree: 40 site 2 at 241 ADDISON AV, on ADDISON AV 39 from pl","<Point><coordinates>-122.155908,37.441545</coordinates></Point>",small_green
13,False,41,29,,RAMONA ST,CHANNING AV,ADDISON AV,ADDISON AV,241,,S,,1,OBSOLETE SITE,,-1,0,-1,-1,-1,-1,-1,-1,,-1,-1,True,True,2W3,7,7,11/12/2004,ES,UNDER CANOPY OF PRIVATE OAK.,,Palo Alto,-122.1563331,37.4416313,False,False,False,,None,52,20374,,"Tree: 41 site 1 at 241 ADDISON AV, on RAMONA ST 7 from pl","<Point><coordinates>-122.156301,37.441639</coordinates></Point>",small_green
14,True,42,,,RAMONA ST,CHANNING AV,ADDISON AV,ADDISON AV,241,,Left,,1,Liquidambar styraciflua,Large Tree Routine Prune,8,1,20-25,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,62,6/1/2010,BK,root damage,,Palo Alto,-122.1561844,37.4415376,False,False,False,,None,53,20374,,"Tree: 42 site 1 at 241 ADDISON AV, on RAMONA ST 62 from pl","<Point><coordinates>-122.156152,37.441545</coordinates></Point>",small_green
15,False,1,38,,ABEL AV,GEORGIA AV,MAYBELL AV,ABEL AV,4133,,F,,1,Prunus armeniaca,,9,0,15,15,2,1,2,1,,Poor,0,True,True,OPEN,7,41,9/29/1989,RL,,,Palo Alto,-122.128087,37.4093374,False,False,False,,None,2,3938,,"Tree: 1 site 1 at 4133 ABEL AV, on ABEL AV 41 from pl","<Point><coordinates>-122.128054,37.409345</coordinates></Point>",small_green
16,False,2,38,,ABEL AV,GEORGIA AV,MAYBELL AV,ABEL AV,4137,,F,,1,Acer rubrum,,3,0,15,15,5,3,1,3,,Fair,0,True,True,OPEN,7,38,9/29/1989,RL,,,Palo Alto,-122.1279298,37.4092691,False,False,False,,None,3,4025,,"Tree: 2 site 1 at 4137 ABEL AV, on ABEL AV 38 from pl","<Point><coordinates>-122.127897,37.409276</coordinates></Point>",small_green
17,False,3,38,,ABEL AV,GEORGIA AV,MAYBELL AV,ABEL AV,4138,,F,,1,Vacant site (medium tree),,-1,0,-1,-1,0,0,0,0,,-1,0,True,True,OPEN,0,30,9/29/1989,RL,,,Palo Alto,-122.1281171,37.4091941,False,False,False,,None,4,3872,,"Tree: 3 site 1 at 4138 ABEL AV, on ABEL AV 30 from pl","<Point><coordinates>-122.128084,37.409201</coordinates></Point>",small_green
18,True,4,,,ABEL AV,GEORGIA AV,MAYBELL AV,ABEL AV,4137,,Front,,1,Prunus armeniaca,Small Tree Routine Prune,1,7,5-10,0-15,Good,Good,5,,,Good,2,False,False,Front Yard,,47,7/2/2010,RL,incorrectly addressed to #4143,,Palo Alto,-122.1278754,37.4092455,False,False,False,,None,5,4026,,"Tree: 4 site 1 at 4137 ABEL AV, on ABEL AV 47 from pl","<Point><coordinates>-122.127843,37.409253</coordinates></Point>",small_green
19,True,5,,,ABEL AV,GEORGIA AV,MAYBELL AV,ABEL AV,4143,,Front,,1,Acer rubrum,Small Tree Routine Prune,6,1,20-25,15-30,Good,Good,5,,,Good,2,False,False,Front Yard,,9,7/2/2010,RL,,,Palo Alto,-122.1278512,37.409235,False,False,False,,None,6,4026,,"Tree: 5 site 1 at 4143 ABEL AV, on ABEL AV 9 from pl","<Point><coordinates>-122.127819,37.409242</coordinates></Point>",small_green
20,False,6,38,,ABEL AV,GEORGIA AV,MAYBELL AV,ABEL AV,4143,,F,,3,Acer rubrum,,3,0,15,15,5,4,3,3,,Good,2,True,True,OPEN,7,32,9/29/1989,RL,,,Palo Alto,-122.1277816,37.4092047,False,False,False,,None,7,4026,,"Tree: 6 site 3 at 4143 ABEL AV, on ABEL AV 32 from pl","<Point><coordinates>-122.127749,37.409212</coordinates></Point>",small_green
21,False,7,38,,ABEL AV,GEORGIA AV,MAYBELL AV,ABEL AV,4144,,F,,1,Prunus armeniaca,,12,0,15,15,2,3,3,2,,Fair,1,True,True,OPEN,6,25,9/29/1989,RL,,,Palo Alto,-122.1279508,37.4091218,False,False,False,,None,8,3873,,"Tree: 7 site 1 at 4144 ABEL AV, on ABEL AV 25 from pl","<Point><coordinates>-122.127918,37.409129</coordinates></Point>",small_green
22,False,8,38,,ABEL AV,GEORGIA AV,MAYBELL AV,ABEL AV,4150,,F,,1,Prunus armeniaca,,9,2,15,30,3,3,3,2,,Fair,1,True,True,OPEN,0,121,9/29/1989,RL,,,Palo Alto,-122.1278125,37.4090618,False,False,False,,None,9,3875,,"Tree: 8 site 1 at 4150 ABEL AV, on ABEL AV 121 from pl","<Point><coordinates>-122.12778,37.409069</coordinates></Point>",small_green
23,False,9,38,,ABEL AV,GEORGIA AV,MAYBELL AV,ABEL AV,4150,,F,,2,Prunus armeniaca,,6,3,15,15,3,2,2,2,,Poor,0,True,True,OPEN,0,96,9/29/1989,RL,,,Palo Alto,-122.1277369,37.409029,False,False,False,,None,10,3875,,"Tree: 9 site 2 at 4150 ABEL AV, on ABEL AV 96 from pl","<Point><coordinates>-122.127704,37.409036</coordinates></Point>",small_green
24,False,10,38,,ABEL AV,GEORGIA AV,MAYBELL AV,ABEL AV,4150,,F,,3,,,3,0,15,15,5,5,5,3,,Good,2,True,True,OPEN,3,70,9/29/1989,RL,,,Palo Alto,-122.1276583,37.4089948,False,False,False,,None,11,3875,,"Tree: 10 site 3 at 4150 ABEL AV, on ABEL AV 70 from pl","<Point><coordinates>-122.127626,37.409002</coordinates></Point>",small_green
25,False,11,38,,ABEL AV,GEORGIA AV,MAYBELL AV,ABEL AV,4150,,F,,4,,,3,0,15,15,5,5,5,3,,Good,2,True,True,OPEN,6,30,9/29/1989,RL,,,Palo Alto,-122.1275374,37.4089423,False,False,False,,None,12,3875,,"Tree: 11 site 4 at 4150 ABEL AV, on ABEL AV 30 from pl","<Point><coordinates>-122.127505,37.40895</coordinates></Point>",small_green
26,True,12,,,ABEL AV,GEORGIA AV,MAYBELL AV,ABEL AV,4151,,Front,,1,Acer rubrum,Small Tree Routine Prune,4,1,15-20,0-15,Good,Good,5,,,Good,2,False,False,Front Yard,,1,7/2/2010,RL,trunk wounds sunscald;,,Palo Alto,-122.1277091,37.4091732,False,False,False,,None,13,4027,,"Tree: 12 site 1 at 4151 ABEL AV, on ABEL AV 1 from pl","<Point><coordinates>-122.127676,37.40918</coordinates></Point>",small_green
27,False,13,38,,ABEL AV,GEORGIA AV,MAYBELL AV,ABEL AV,4151,,F,,2,Prunus armeniaca,,9,0,15,15,3,1,2,1,,Poor,1,True,True,OPEN,7,19,9/29/1989,RL,,,Palo Alto,-122.1276546,37.4091496,False,False,False,,None,14,4027,,"Tree: 13 site 2 at 4151 ABEL AV, on ABEL AV 19 from pl","<Point><coordinates>-122.127622,37.409157</coordinates></Point>",small_green
28,False,14,38,,ABEL AV,GEORGIA AV,MAYBELL AV,ABEL AV,4151,,F,,3,Prunus armeniaca,,9,0,15,15,3,1,2,1,,Poor,1,True,True,OPEN,7,44,9/29/1989,RL,,,Palo Alto,-122.127579,37.4091167,False,False,False,,None,15,4027,,"Tree: 14 site 3 at 4151 ABEL AV, on ABEL AV 44 from pl","<Point><coordinates>-122.127546,37.409124</coordinates></Point>",small_green
29,True,15,,,ADDISON AV,ALMA ST,HIGH ST,ADDISON AV,145,,Front,,1,Ulmus parvifolia,Large Tree Routine Prune,16,1,35-40,30-45,Fair,Fair,3,,,Good,1,False,False,Planting Strip,,8,6/2/2010,RL,cavity or decay trunk decay; previous failure,,Palo Alto,-122.1575338,37.4399305,False,False,False,,None,26,13809,,"Tree: 15 site 1 at 145 ADDISON AV, on ADDISON AV 8 from pl","<Point><coordinates>-122.157501,37.439938</coordinates></Point>",small_green
30,False,16,13,,ADDISON AV,ALMA ST,HIGH ST,ADDISON AV,145,,F,,2,OBSOLETE SITE,,-1,0,-1,-1,-1,-1,-1,-1,,-1,-1,True,True,4.0,0,20,6/8/2006,EFS,,,Palo Alto,-122.1575082,37.4399564,False,False,False,,None,27,13809,,"Tree: 16 site 2 at 145 ADDISON AV, on ADDISON AV 20 from pl","<Point><coordinates>-122.157476,37.439964</coordinates></Point>",small_green
31,True,17,,,ADDISON AV,ALMA ST,HIGH ST,ADDISON AV,145,,Front,,2,Ulmus parvifolia,Large Tree Routine Prune,12,1,30-35,15-30,Good,Good,5,,,Good,1,False,False,Planting Strip,,49,6/2/2010,RL,,,Palo Alto,-122.1574462,37.4400188,False,False,False,,None,28,13809,,"Tree: 17 site 2 at 145 ADDISON AV, on ADDISON AV 49 from pl","<Point><coordinates>-122.157414,37.440026</coordinates></Point>",small_green
32,False,18,13,,ADDISON AV,ALMA ST,HIGH ST,ADDISON AV,145,,F,,4,OBSOLETE SITE,,-1,0,-1,-1,-1,-1,-1,-1,,-1,-1,True,True,3W4,0,92,6/8/2006,ES,Site is next to curb side gas meter and too close to F5 at 98 ft.,,Palo Alto,-122.1573544,37.4401115,False,False,False,,None,29,13809,,"Tree: 18 site 4 at 145 ADDISON AV, on ADDISON AV 92 from pl","<Point><coordinates>-122.157322,37.440119</coordinates></Point>",small_green
33,True,19,,,ADDISON AV,ALMA ST,HIGH ST,ADDISON AV,145,,Front,,3,Ulmus parvifolia 'Athena',Training Prune,3,-1,15-20,0-15,Good,Good,4,,,Good,3,False,True,Planting Strip,,98,6/2/2010,FC,,,Palo Alto,-122.1573416,37.4401244,False,False,False,,None,30,13809,,"Tree: 19 site 3 at 145 ADDISON AV, on ADDISON AV 98 from pl","<Point><coordinates>-122.157309,37.440132</coordinates></Point>",small_green
34,True,20,,,ADDISON AV,ALMA ST,HIGH ST,ADDISON AV,160,,Front,,1,Celtis australis,Large Tree Routine Prune,8,1,15-20,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,97,6/2/2010,JM,trunk decay; termites; root damage;,,Palo Alto,-122.1573987,37.4398453,False,False,False,,None,31,13790,,"Tree: 20 site 1 at 160 ADDISON AV, on ADDISON AV 97 from pl","<Point><coordinates>-122.157366,37.439853</coordinates></Point>",small_green
35,True,21,,,ADDISON AV,ALMA ST,HIGH ST,ADDISON AV,160,,Front,,3,Celtis australis,Large Tree Routine Prune,11,1,20-25,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,63,6/2/2010,JM,remove vines; root damage;,,Palo Alto,-122.1573261,37.4399186,False,False,False,,None,32,13790,,"Tree: 21 site 3 at 160 ADDISON AV, on ADDISON AV 63 from pl","<Point><coordinates>-122.157293,37.439926</coordinates></Point>",small_green
36,True,22,,,ADDISON AV,ALMA ST,HIGH ST,ADDISON AV,160,,Front,,7,Celtis sinensis,Large Tree Routine Prune,8,1,20-25,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,24,6/2/2010,JM,,,Palo Alto,-122.1572428,37.4400026,False,False,False,,None,33,13790,,"Tree: 22 site 7 at 160 ADDISON AV, on ADDISON AV 24 from pl","<Point><coordinates>-122.15721,37.44001</coordinates></Point>",small_green
37,True,23,,,HIGH ST,ADDISON AV,LINCOLN AV,ADDISON AV,160,,Left,,1,Pistacia chinensis,Training Prune,2,1,10-15,0-15,Good,Good,5,,,Good,3,False,True,Planting Strip,,41,6/1/2010,FC,,,Palo Alto,-122.157143,37.4400413,False,False,False,,None,34,13790,,"Tree: 23 site 1 at 160 ADDISON AV, on HIGH ST 41 from pl","<Point><coordinates>-122.15711,37.440049</coordinates></Point>",small_green
38,True,24,,,HIGH ST,ADDISON AV,LINCOLN AV,ADDISON AV,160,,Left,,2,Pistacia chinensis,Large Tree Routine Prune,7,1,20-25,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,10,6/1/2010,JM,,,Palo Alto,-122.1570592,37.4399885,False,False,False,,None,35,13790,,"Tree: 24 site 2 at 160 ADDISON AV, on HIGH ST 10 from pl","<Point><coordinates>-122.157027,37.439996</coordinates></Point>",small_green
39,True,25,,,ADDISON AV,HIGH ST,EMERSON ST,ADDISON AV,181,,Front,,1,Liquidambar styraciflua,Large Tree Routine Prune,14,1,40-45,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,9,6/2/2010,RL,,,Palo Alto,-122.1569603,37.440509,False,False,False,,None,36,13806,,"Tree: 25 site 1 at 181 ADDISON AV, on ADDISON AV 9 from pl","<Point><coordinates>-122.156928,37.440516</coordinates></Point>",small_green
40,True,26,,,ADDISON AV,HIGH ST,EMERSON ST,ADDISON AV,181,,Front,,2,Liquidambar styraciflua,Large Tree Routine Prune,10,1,30-35,15-30,Good,Good,4,,,Good,2,False,False,Planting Strip,,52,6/2/2010,RL,,,Palo Alto,-122.1568685,37.4406017,False,False,False,,None,37,13806,,"Tree: 26 site 2 at 181 ADDISON AV, on ADDISON AV 52 from pl","<Point><coordinates>-122.156836,37.440609</coordinates></Point>",small_green
41,True,27,,,ADDISON AV,HIGH ST,EMERSON ST,ADDISON AV,181,,Front,,3,Celtis australis,Training Prune,2,1,10-15,0-15,Good,Good,5,,,Good,2,False,False,Planting Strip,,88,6/2/2010,JM,leaning,,Palo Alto,-122.1567916,37.4406793,False,False,False,,None,38,13806,,"Tree: 27 site 3 at 181 ADDISON AV, on ADDISON AV 88 from pl","<Point><coordinates>-122.156759,37.440687</coordinates></Point>",small_green
42,True,28,,,ADDISON AV,EMERSON ST,RAMONA ST,ADDISON AV,203,,Front,,1,Celtis australis,Large Tree Routine Prune,17,1,30-35,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,11,6/2/2010,BK,,,Palo Alto,-122.1565876,37.440885,False,False,False,,Low,39,13872,,"Tree: 28 site 1 at 203 ADDISON AV, on ADDISON AV 11 from pl","<Point><coordinates>-122.156555,37.440892</coordinates></Point>",small_green
43,True,43,,,RAMONA ST,CHANNING AV,ADDISON AV,ADDISON AV,241,,Left,,2,Liquidambar styraciflua,Large Tree Routine Prune,10,1,40-45,15-30,Good,Good,5,,,Good,2,False,False,Planting Strip,,95,6/1/2010,BK,,,Palo Alto,-122.1560953,37.4414814,False,False,False,,Low,54,20374,,"Tree: 43 site 2 at 241 ADDISON AV, on RAMONA ST 95 from pl","<Point><coordinates>-122.156063,37.441489</coordinates></Point>",small_green
44,True,44,,,ADDISON AV,RAMONA ST,BRYANT ST,ADDISON AV,253,,Front,,1,Acer capillipes,Large Tree Routine Prune,6,1,15-20,15-30,Fair,Fair,5,,,Good,2,False,False,Planting Strip,,8,6/1/2010,JM,trunk wounds; root damage;,,Palo Alto,-122.1558871,37.4415918,False,False,False,,None,55,20373,,"Tree: 44 site 1 at 253 ADDISON AV, on ADDISON AV 8 from pl","<Point><coordinates>-122.155854,37.441599</coordinates></Point>",small_green
45,True,45,,,ADDISON AV,RAMONA ST,BRYANT ST,ADDISON AV,253,,Front,,2,Acer macrophyllum,Large Tree Routine Prune,10,1,20-25,15-30,Good,Good,5,,,Good,2,False,False,Tree Well,,30,6/1/2010,JM,root damage;,,Palo Alto,-122.1558401,37.4416392,False,False,False,,Low,56,20373,,"Tree: 45 site 2 at 253 ADDISON AV, on ADDISON AV 30 from pl","<Point><coordinates>-122.155807,37.441646</coordinates></Point>",small_green
46,True,46,,,ADDISON AV,RAMONA ST,BRYANT ST,ADDISON AV,281,,Front,,1,Ginkgo biloba,Training Prune,1,1,5-10,0-15,Good,Good,5,,,Good,2,False,False,Planting Strip,,15,6/1/2010,JM,trunk wounds,,Palo Alto,-122.1556318,37.4418493,False,False,False,,None,38585,8,,"Tree: 46 site 1 at 281 ADDISON AV, on ADDISON AV 15 from pl","<Point><coordinates>-122.155599,37.441857</coordinates></Point>",small_green
47,False,47,29,,ADDISON AV,RAMONA ST,BRYANT ST,ADDISON AV,281,,F,,2,Ginkgo biloba,,6,2,30,30,5,5,5,3,,Good,2,True,True,4.0,0,36,6/22/2004,JM,,,Palo Alto,-122.155587,37.4418945,False,False,False,,None,38587,8,,"Tree: 47 site 2 at 281 ADDISON AV, on ADDISON AV 36 from pl","<Point><coordinates>-122.155554,37.441902</coordinates></Point>",small_green
48,False,48,29,,BRYANT ST,CHANNING AV,ADDISON AV,ADDISON AV,281,,S,,1,Ginkgo biloba,,3,0,15,15,5,5,5,3,,Good,2,True,True,3.0,0,30,6/7/1989,BK,,,Palo Alto,-122.1556271,37.442009,False,False,False,,None,57,8,,"Tree: 48 site 1 at 281 ADDISON AV, on BRYANT ST 30 from pl","<Point><coordinates>-122.155594,37.442016</coordinates></Point>",small_green
49,True,49,,,BRYANT ST,CHANNING AV,ADDISON AV,ADDISON AV,281,,Right,,1,Pistacia chinensis,Large Tree Routine Prune,4,1,20-25,0-15,Good,Good,5,,,Good,2,False,False,Planting Strip,,102,6/1/2010,BK,,,Palo Alto,-122.1557784,37.4421044,False,False,False,,None,38586,8,,"Tree: 49 site 1 at 281 ADDISON AV, on BRYANT ST 102 from pl","<Point><coordinates>-122.155746,37.442112</coordinates></Point>",small_green
50,True,50,,,ADDISON AV,BRYANT ST,SCOTT ST,ADDISON AV,301,,Front,,1,Celtis australis,Large Tree Routine Prune,15,1,35-40,15-30,Fair,Fair,5,,,Fair,2,False,False,Planting Strip,,37,6/9/2010,JM,root decay; stunted foliage in upper crown,,Palo Alto,-122.155336,37.4421477,False,False,False,,None,59,20375,,"Tree: 50 site 1 at 301 ADDISON AV, on ADDISON AV 37 from pl","<Point><coordinates>-122.155303,37.442155</coordinates></Point>",small_green
